ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7976336,4.11E-01,2.95E-01,-1.052204,-6.089686,-0.0559518,UBR7,ubiquitin protein ligase E3 component n-recognin 7 (putative)
7976350,3.59E-08,3.71E-10,-7.029738,12.895898,-1.1597007,UNC79,unc-79 homolog (C. elegans)
7976402,5.29E-02,2.03E-02,-2.361433,-3.948214,-0.1261944,COX8C,cytochrome c oxidase subunit 8C
7976407,2.66E-01,1.68E-01,-1.39128,-5.684814,-0.0818222,FAM181A,family with sequence similarity 181 member A
7976412,2.28E-01,1.36E-01,-1.50303,-5.527756,-0.0491456,LINC00521,long intergenic non-protein coding RNA 521
7976425,6.23E-02,2.52E-02,2.276003,-4.133928,0.1592302,OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2"
7976436,2.34E-01,1.41E-01,1.483634,-5.555846,0.0700798,IFI27L1,interferon alpha inducible protein 27 like 1
7976443,3.18E-09,1.65E-11,7.692821,15.904943,1.3512633,IFI27,interferon alpha inducible protein 27
7976451,1.53E-02,4.10E-03,-2.944919,-2.523011,-0.4010307,PPP4R4,protein phosphatase 4 regulatory subunit 4
7976481,8.36E-02,3.70E-02,-2.117052,-4.463162,-0.5695827,SERPINA4,serpin family A member 4
7976488,6.96E-04,8.47E-05,-4.115764,1.071871,-1.0333527,SERPINA5,serpin family A member 5
7976496,2.02E-01,1.17E-01,-1.584576,-5.405879,-0.5797591,SERPINA3,serpin family A member 3
7976506,5.13E-01,3.98E-01,-0.849529,-6.279298,-0.0356249,SERPINA13P,"serpin family A member 13, pseudogene"
7976512,7.27E-02,3.08E-02,-2.194334,-4.305759,-0.1143056,DICER1-AS1,DICER1 antisense RNA 1
7976515,9.69E-01,9.53E-01,-0.059276,-6.634779,-0.0028269,GLRX5,glutaredoxin 5
7976523,1.28E-01,6.43E-02,-1.872986,-4.926432,-0.101702,TCL6,T-cell leukemia/lymphoma 6 (non-protein coding)
7976544,1.29E-01,6.48E-02,-1.869433,-4.932791,-0.1213649,TCL1B,T-cell leukemia/lymphoma 1B
7976552,6.52E-01,5.49E-01,-0.602025,-6.456768,-0.0520464,,
7976554,5.13E-02,1.96E-02,-2.3766,-3.91461,-0.0721433,LOC100133207,uncharacterized LOC100133207
7976556,2.90E-02,9.35E-03,-2.655644,-3.263045,-0.1445576,C14orf132,chromosome 14 open reading frame 132
7976560,4.20E-01,3.05E-01,-1.032096,-6.110265,-0.0784116,BDKRB2,bradykinin receptor B2
7976567,7.94E-01,7.15E-01,-0.365743,-6.570095,-0.0617893,BDKRB1,bradykinin receptor B1
7976571,1.67E-04,1.44E-05,4.58629,2.749671,0.4300429,GSKIP,GSK3B interacting protein
7976576,7.56E-01,6.69E-01,-0.42885,-6.545219,-0.0249789,,
7976578,8.79E-01,8.25E-01,-0.221893,-6.612062,-0.0155284,AK7,adenylate kinase 7
7976598,2.38E-01,1.45E-01,-1.470752,-5.574309,-0.088888,PAPOLA,poly(A) polymerase alpha
7976621,9.89E-02,4.60E-02,2.023412,-4.647025,0.1913976,VRK1,vaccinia related kinase 1
7976635,2.08E-01,1.21E-01,-1.563472,-5.438006,-0.0841671,C14orf177,chromosome 14 open reading frame 177
7976642,2.84E-01,1.83E-01,-1.343132,-5.748904,-0.0981713,ERVH-4,endogenous retrovirus group H member 4
7976646,1.58E-01,8.49E-02,-1.741941,-5.153547,-0.0579769,,
7976648,5.79E-01,4.66E-01,0.731532,-6.371367,0.0330851,CCNK,cyclin K
7976667,9.72E-02,4.50E-02,-2.032447,-4.629615,-0.0736644,,
7976669,6.65E-01,5.62E-01,-0.582177,-6.468404,-0.0297302,HHIPL1,HHIP like 1
7976681,3.04E-04,3.07E-05,-4.388827,2.031274,-0.2308267,CYP46A1,cytochrome P450 family 46 subfamily A member 1
7976698,1.77E-01,9.79E-02,-1.672551,-5.267577,-0.1544773,EML1,echinoderm microtubule associated protein like 1
7976724,1.56E-02,4.22E-03,-2.935388,-2.548407,-0.2058089,,
7976726,9.13E-02,4.14E-02,-2.06858,-4.55928,-0.1324958,EVL,Enah/Vasp-like
7976744,5.57E-01,4.43E-01,0.770161,-6.342718,0.0232284,YY1,YY1 transcription factor
7976755,6.37E-01,5.31E-01,-0.629531,-6.440005,-0.0352051,SLC25A47,solute carrier family 25 member 47
7976766,6.15E-02,2.47E-02,-2.283579,-4.117705,-0.1083567,WDR25,WD repeat domain 25
7976778,1.95E-03,3.04E-04,-3.755974,-0.127093,-0.1476964,LINC00523,long intergenic non-protein coding RNA 523
7976783,5.67E-06,2.14E-07,-5.6121,6.767186,-0.8024978,DLK1,delta like non-canonical Notch ligand 1
7976795,3.19E-05,1.87E-06,-5.096316,4.691859,-0.5717916,MEG3,maternally expressed 3 (non-protein coding)
7976804,1.07E-03,1.43E-04,-3.969862,0.576404,-0.3376118,MIR127,microRNA 127
7976806,4.92E-03,9.70E-04,-3.410048,-1.203862,-0.1375773,MIR136,microRNA 136
7976808,3.06E-05,1.76E-06,-5.11043,4.747252,-0.564866,LOC100288160,esophagus cancer-related gene-2 interaction susceptibility protein
7976810,1.68E-03,2.55E-04,-3.806859,0.037745,-0.6440964,SNORD113-3,"small nucleolar RNA, C/D box 113-3"
7976812,9.86E-04,1.31E-04,-3.995878,0.663843,-0.8039591,SNORD113-4,"small nucleolar RNA, C/D box 113-4"
7976814,2.71E-04,2.67E-05,-4.424685,2.160242,-0.9052407,SNORD114-2,"small nucleolar RNA, C/D box 114-2"
7976816,5.26E-05,3.43E-06,-4.947714,4.113829,-0.8507482,SNORD114-3,"small nucleolar RNA, C/D box 114-3"
7976818,9.84E-02,4.57E-02,-2.026414,-4.641248,-0.4710364,SNORD114-6,"small nucleolar RNA, C/D box 114-6"
7976826,3.72E-03,6.75E-04,-3.520821,-0.867563,-0.4462933,SNORD114-26,"small nucleolar RNA, C/D box 114-26"
7976828,4.06E-03,7.59E-04,-3.485119,-0.976844,-0.2749949,FLJ41170///FLJ41170,uncharacterized LOC440200///uncharacterized LOC440200
7976830,1.74E-02,4.84E-03,-2.887973,-2.673732,-0.1472196,MIR299,microRNA 299
7976832,1.45E-02,3.83E-03,-2.967795,-2.461783,-0.2163476,MIR323A,microRNA 323a
7976834,2.13E-02,6.27E-03,-2.798106,-2.906605,-0.1896038,MIR494,microRNA 494
7976836,8.91E-02,4.02E-02,-2.08195,-4.532968,-0.0600509,MIR495,microRNA 495
7976838,7.06E-03,1.53E-03,-3.267,-1.625839,-0.076608,MIR376C,microRNA 376c
7976840,3.37E-04,3.49E-05,-4.354789,1.909481,-0.3290458,MIR487A,microRNA 487a
7976842,1.35E-04,1.10E-05,-4.654064,3.000754,-0.3176596,MIR382,microRNA 382
7976844,5.35E-02,2.06E-02,-2.355681,-3.960907,-0.2260202,MIR134,microRNA 134
7976846,4.18E-03,7.87E-04,-3.474272,-1.009881,-0.1439502,MIR485,microRNA 485
7976848,4.53E-03,8.71E-04,-3.443022,-1.104613,-0.1695638,MIR323B,microRNA 323b
7976850,9.53E-05,7.23E-06,-4.761166,3.40207,-0.5536449,MIR154,microRNA 154
7976852,7.13E-02,3.00E-02,-2.204717,-4.284225,-0.0661096,MIR377,microRNA 377
7976854,1.68E-04,1.45E-05,-4.5837,2.740119,-0.2267604,MIR412,microRNA 412
7976856,1.54E-02,4.13E-03,-2.942281,-2.530046,-0.0782147,MIR410,microRNA 410
7976858,4.55E-01,3.39E-01,0.960997,-6.179915,0.0825813,DIO3,"deiodinase, iodothyronine, type III"
7976863,9.41E-01,9.13E-01,-0.109109,-6.630609,-0.00527,PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma
7976874,1.67E-02,4.59E-03,-2.906655,-2.624554,-0.187696,,
7976876,2.38E-03,3.90E-04,3.684004,-0.357469,0.2986249,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
7976957,3.65E-02,1.26E-02,-2.545374,-3.528006,-0.1162116,WDR20,WD repeat domain 20
7976967,4.00E-02,1.42E-02,-2.50137,-3.631029,-0.1307647,ZNF839,zinc finger protein 839
7976976,9.54E-01,9.32E-01,-0.085888,-6.632859,-0.0042182,TECPR2,tectonin beta-propeller repeat containing 2
7977003,7.40E-05,5.23E-06,4.842562,3.710678,0.3799607,RCOR1,REST corepressor 1
7977016,2.33E-02,7.00E-03,2.759629,-3.004425,0.2275756,,
7977018,1.58E-02,4.28E-03,2.929985,-2.562771,0.2557453,TRAF3,TNF receptor associated factor 3
7977033,5.15E-01,4.00E-01,0.846426,-6.281892,0.0482871,AMN,amnion associated transmembrane protein
7977046,3.53E-03,6.32E-04,3.540603,-0.806649,0.4691664,TNFAIP2,TNF alpha induced protein 2
7977058,2.14E-01,1.25E-01,-1.547493,-5.462059,-0.1166562,EIF5,eukaryotic translation initiation factor 5
7977075,3.23E-02,1.07E-02,-2.605334,-3.385127,-0.2566711,SNORA28,"small nucleolar RNA, H/ACA box 28"
7977077,7.48E-01,6.60E-01,0.440674,-6.54012,0.0203853,MARK3,microtubule affinity regulating kinase 3
7977103,8.15E-01,7.41E-01,-0.331897,-6.581814,-0.0231304,,
7977105,1.27E-01,6.35E-02,-1.878676,-4.916225,-0.0692473,TRMT61A,tRNA methyltransferase 61A
7977117,9.82E-03,2.34E-03,-3.1316,-2.012108,-0.0760498,,
7977119,5.52E-01,4.39E-01,-0.777648,-6.336998,-0.0568373,APOPT1,"apoptogenic 1, mitochondrial"
7977125,1.34E-01,6.81E-02,-1.846161,-4.974166,-0.0589358,,
7977127,3.78E-02,1.32E-02,2.528925,-3.566698,0.1487756,KLC1,kinesin light chain 1
7977149,1.79E-03,2.74E-04,3.785894,-0.030363,0.2079773,ZFYVE21///ZFYVE21,zinc finger FYVE-type containing 21///zinc finger FYVE-type containing 21
7977161,9.82E-01,9.73E-01,-0.034548,-6.635932,-0.0028751,TDRD9,tudor domain containing 9
7977201,7.76E-01,6.94E-01,0.395193,-6.558976,0.0140553,,
7977203,3.53E-02,1.21E-02,-2.561911,-3.488884,-0.1501091,ASPG,asparaginase
7977214,5.81E-02,2.30E-02,-2.31227,-4.05583,-0.0728653,MIR203A,microRNA 203a
7977216,1.52E-02,4.05E-03,-2.949044,-2.511999,-0.1188384,KIF26A,kinesin family member 26A
7977234,1.07E-01,5.07E-02,-1.9805,-4.728749,-0.114318,C14orf180,chromosome 14 open reading frame 180
7977241,3.30E-07,6.16E-09,6.416548,10.182278,0.3896151,INF2,"inverted formin, FH2 and WH2 domain containing"
7977249,1.78E-09,7.90E-12,7.84817,16.618112,0.6032849,INF2,"inverted formin, FH2 and WH2 domain containing"
7977270,2.92E-04,2.90E-05,4.403309,2.083281,0.9007333,LOC388022,uncharacterized LOC388022
7977273,2.50E-01,1.54E-01,-1.435771,-5.623673,-0.1171633,ADSSL1,adenylosuccinate synthase like 1
7977288,9.09E-03,2.12E-03,-3.16398,-1.920918,-0.1452207,SIVA1,SIVA1 apoptosis inducing factor
7977294,5.53E-01,4.39E-01,-0.777533,-6.337086,-0.0559542,ZBTB42,zinc finger and BTB domain containing 42
7977296,1.25E-01,6.22E-02,-1.888398,-4.898718,-0.1379276,LINC00638,long intergenic non-protein coding RNA 638
7977299,2.93E-01,1.90E-01,1.31981,-5.779168,0.0768516,CEP170B,centrosomal protein 170B
7977319,5.35E-01,4.20E-01,-0.810398,-6.311332,-0.0362284,PLD4,phospholipase D family member 4
7977331,8.43E-01,7.78E-01,0.283079,-6.596718,0.0176429,C14orf79,chromosome 14 open reading frame 79
7977340,1.85E-01,1.04E-01,-1.642539,-5.315549,-0.1086347,BTBD6,BTB domain containing 6
7977344,1.53E-02,4.11E-03,-2.944051,-2.525326,-0.1553896,PACS2,phosphofurin acidic cluster sorting protein 2
7977371,5.43E-02,2.11E-02,-2.347169,-3.979644,-0.1073982,PACS2,phosphofurin acidic cluster sorting protein 2
7977373,3.26E-01,2.19E-01,-1.238296,-5.880935,-0.0561602,MTA1,metastasis associated 1
7977397,1.81E-02,5.10E-03,2.87015,-2.720402,0.2745838,CRIP2,cysteine rich protein 2
7977409,1.53E-07,2.36E-09,6.627512,11.106797,0.7874458,CRIP1,cysteine rich protein 1
7977418,2.41E-02,7.33E-03,-2.743305,-3.045579,-0.1679218,C14orf80,chromosome 14 open reading frame 80
7977432,8.14E-01,7.40E-01,-0.333294,-6.581353,-0.0340742,TMEM121,transmembrane protein 121
7977435,4.97E-01,3.81E-01,-0.880123,-6.253218,-0.0579329,,
7977438,9.70E-01,9.55E-01,0.056044,-6.634964,0.0036462,,
7977440,1.04E-01,4.93E-02,-1.99276,-4.705563,-0.1686896,FAM30A,"family with sequence similarity 30, member A"
7977445,6.91E-01,5.93E-01,-0.536948,-6.493471,-0.0409453,FAM30A,"family with sequence similarity 30, member A"
7977447,1.63E-02,4.45E-03,-2.917421,-2.596095,-0.0966509,LINC00221,long intergenic non-protein coding RNA 221
7977450,8.27E-01,7.57E-01,0.309826,-6.588845,0.0139069,OR11H12///OR11H1,olfactory receptor family 11 subfamily H member 12///olfactory receptor family 11 subfamily H member 1
7977452,8.32E-03,1.89E-03,3.20109,-1.815488,0.24737,LINC01296,long intergenic non-protein coding RNA 1296
7977454,5.51E-05,3.65E-06,4.931995,4.053246,0.3574662,POTEF///POTEM///POTEE///POTEKP,"POTE ankyrin domain family member F///POTE ankyrin domain family member M///POTE ankyrin domain family member E///POTE ankyrin domain family member K, pseudogene"
7977456,3.57E-02,1.22E-02,-2.556403,-3.501939,-0.1111978,POTEB3///LOC102723502///POTEB///LOC100288966///POTEB2///POTEF///POTEJ///POTEM///POTEE///POTEKP///POTEG///POTEC///POTED///POTEH,"POTE ankyrin domain family member B3///POTE ankyrin domain family member B-like///POTE ankyrin domain family member B///POTE ankyrin domain family member D-like///POTE ankyrin domain family member B2///POTE ankyrin domain family member F///POTE ankyrin domain family member J///POTE ankyrin domain family member M///POTE ankyrin domain family member E///POTE ankyrin domain family member K, pseudogene///POTE ankyrin domain family member G///POTE ankyrin domain family member C///POTE ankyrin domain family member D///POTE ankyrin domain family member H"
7977472,9.53E-01,9.29E-01,0.08896,-6.632592,0.0045487,OR11H12///OR11H1,olfactory receptor family 11 subfamily H member 12///olfactory receptor family 11 subfamily H member 1
7977474,5.21E-01,4.06E-01,-0.835031,-6.29134,-0.0330027,,
7977476,2.54E-01,1.57E-01,-1.425669,-5.637717,-0.0475187,OR4K14,olfactory receptor family 4 subfamily K member 14
7977478,5.39E-03,1.09E-03,-3.373716,-1.312366,-0.1079104,OR4K13,olfactory receptor family 4 subfamily K member 13
7977480,4.11E-02,1.46E-02,-2.488751,-3.660285,-0.1182547,,
7977482,1.37E-01,6.99E-02,1.834329,-4.995018,0.1051307,TTC5,tetratricopeptide repeat domain 5
7977497,3.15E-01,2.09E-01,1.265142,-5.848109,0.0669198,CCNB1IP1,cyclin B1 interacting protein 1
7977507,7.03E-02,2.95E-02,2.212005,-4.269055,0.2140427,RPPH1,ribonuclease P RNA component H1
7977511,1.17E-05,5.23E-07,5.40217,5.910262,0.5091544,TEP1,telomerase associated protein 1
7977567,3.02E-02,9.83E-03,-2.63728,-3.307839,-0.1217309,KLHL33,kelch like family member 33
7977571,6.74E-02,2.79E-02,2.234219,-4.222541,0.1705729,OSGEP,O-sialoglycoprotein endopeptidase
7977584,2.87E-02,9.23E-03,2.660134,-3.252053,0.1195038,TMEM55B,transmembrane protein 55B
7977592,1.28E-01,6.46E-02,-1.870911,-4.930147,-0.0587338,,
7977596,1.70E-01,9.26E-02,-1.699475,-5.223848,-0.0621271,RNASE9,ribonuclease A family member 9 (inactive)
7977598,6.10E-01,5.01E-01,-0.676023,-6.409983,-0.0203002,RNASE12///RNASE11,ribonuclease A family member 12 (inactive)///ribonuclease A family member 11 (inactive)
7977606,4.25E-01,3.10E-01,-1.021122,-6.121332,-0.0377233,RNASE12///RNASE11,ribonuclease A family member 12 (inactive)///ribonuclease A family member 11 (inactive)
7977609,9.48E-01,9.23E-01,0.097243,-6.631825,0.0034551,OR6S1,olfactory receptor family 6 subfamily S member 1
7977611,1.45E-01,7.57E-02,-1.796822,-5.060296,-0.0638476,,
7977613,8.71E-01,8.14E-01,-0.235866,-6.608885,-0.010342,,
7977615,7.51E-04,9.29E-05,-4.090409,0.984886,-0.7115442,RNASE1,"ribonuclease A family member 1, pancreatic"
7977621,3.78E-03,6.89E-04,-3.514444,-0.887143,-0.3124147,NDRG2,NDRG family member 2
7977642,3.84E-01,2.70E-01,-1.109314,-6.029128,-0.05724,RNASE13,ribonuclease A family member 13 (inactive)
7977646,1.10E-02,2.69E-03,-3.085991,-2.139275,-0.1730464,ZNF219,zinc finger protein 219
7977653,7.34E-01,6.43E-01,0.465262,-6.529076,0.0167589,,
7977655,8.50E-01,7.87E-01,-0.270646,-6.600137,-0.0136893,OR5AU1,olfactory receptor family 5 subfamily AU member 1
7977657,6.43E-03,1.36E-03,3.304982,-1.515172,0.1511413,HNRNPCL3///HNRNPCL2///HNRNPCL1///HNRNPC,heterogeneous nuclear ribonucleoprotein C-like 3///heterogeneous nuclear ribonucleoprotein C-like 2///heterogeneous nuclear ribonucleoprotein C-like 1///heterogeneous nuclear ribonucleoprotein C (C1/C2)
7977674,1.52E-02,4.07E-03,2.947312,-2.516623,0.1868484,SUPT16H,"SPT16 homolog, facilitates chromatin remodeling subunit"
7977693,1.17E-02,2.92E-03,3.058695,-2.214664,0.1768831,CHD8,chromodomain helicase DNA binding protein 8
7977732,2.24E-01,1.33E-01,-1.514505,-5.510976,-0.0908613,SNORD8,"small nucleolar RNA, C/D box 8"
7977734,9.52E-02,4.38E-02,-2.044247,-4.606768,-0.10144,,
7977736,5.61E-01,4.47E-01,0.763314,-6.347903,0.0429024,RAB2B,"RAB2B, member RAS oncogene family"
7977749,6.21E-01,5.12E-01,-0.657646,-6.422103,-0.0356544,METTL3///METTL3,methyltransferase like 3///methyltransferase like 3
7977761,2.61E-03,4.37E-04,-3.650454,-0.463746,-0.2217447,SALL2,spalt like transcription factor 2
7977767,4.83E-02,1.81E-02,-2.407179,-3.846287,-0.0876602,OR10G3,olfactory receptor family 10 subfamily G member 3
7977771,3.08E-02,1.01E-02,-2.627639,-3.331249,-0.1400596,OR10G2,olfactory receptor family 10 subfamily G member 2
7977773,2.66E-02,8.35E-03,-2.696352,-3.162803,-0.0958144,,
7977775,2.63E-02,8.19E-03,2.703417,-3.145274,0.182532,DAD1,defender against cell death 1
7977780,9.87E-02,4.58E-02,-2.024538,-4.644859,-0.0855378,,
7977782,9.69E-01,9.53E-01,-0.059336,-6.634775,-0.0024893,,
7977784,1.01E-01,4.74E-02,-2.010011,-4.672718,-0.134348,,
7977786,1.26E-04,1.01E-05,4.675278,3.079808,0.6299424,SLC7A7,solute carrier family 7 member 7
7977801,1.17E-03,1.61E-04,-3.937798,0.469185,-0.2506838,,
7977803,1.63E-01,8.82E-02,-1.723738,-5.183881,-0.0835633,RBM23,RNA binding motif protein 23
7977820,1.59E-03,2.37E-04,3.827452,0.104908,0.1872151,PRMT5,protein arginine methyltransferase 5
7977841,7.02E-01,6.05E-01,-0.519073,-6.502823,-0.0358622,HAUS4,HAUS augmin like complex subunit 4
7977854,6.67E-04,8.05E-05,4.129796,1.120168,0.3757709,AJUBA,ajuba LIM protein
7977868,4.36E-01,3.21E-01,-0.99768,-6.144586,-0.0538167,C14orf93,chromosome 14 open reading frame 93
7977879,1.37E-03,1.97E-04,3.880852,0.280275,0.2852153,PSMB5,proteasome subunit beta 5
7977888,3.82E-01,2.69E-01,-1.113237,-6.024855,-0.0606731,CDH24,cadherin 24
7977906,3.16E-01,2.10E-01,1.262351,-5.851554,0.0625362,ACIN1,apoptotic chromatin condensation inducer 1
7977928,3.15E-01,2.09E-01,-1.265166,-5.84808,-0.0908407,CEBPE,CCAAT/enhancer binding protein epsilon
7977933,1.88E-03,2.92E-04,-3.768358,-0.087122,-0.4187782,SLC7A8,solute carrier family 7 member 8
7977951,4.15E-03,7.81E-04,-3.476497,-1.00311,-0.2246533,,
7977953,1.49E-01,7.82E-02,-1.781265,-5.087003,-0.0554438,,
7977955,7.39E-02,3.14E-02,-2.185528,-4.32395,-0.1312389,PPP1R3E///HOMEZ,protein phosphatase 1 regulatory subunit 3E///homeobox and leucine zipper encoding
7977965,1.65E-03,2.49E-04,-3.814172,0.061564,-0.2992013,SLC22A17,solute carrier family 22 member 17
7977978,1.80E-01,1.00E-01,1.660891,-5.286312,0.0875642,EFS,embryonal Fyn-associated substrate
7977987,4.79E-01,3.63E-01,-0.91332,-6.223893,-0.0328478,MYH6,myosin heavy chain 6
7978019,9.69E-02,4.48E-02,-2.034603,-4.62545,-0.065788,MIR208A,microRNA 208a
7978021,1.71E-01,9.37E-02,-1.69369,-5.2333,-0.0635107,MYH7,"myosin, heavy chain 7, cardiac muscle, beta"
7978054,6.51E-01,5.47E-01,-0.604726,-6.455155,-0.0462689,,
7978056,4.22E-04,4.58E-05,-4.28231,1.652193,-0.1773729,ZFHX2,zinc finger homeobox 2
7978059,3.39E-01,2.30E-01,-1.207307,-5.91798,-0.0669242,ZFHX2,zinc finger homeobox 2
7978064,4.28E-02,1.55E-02,-2.467971,-3.708182,-0.1279176,,
7978066,1.97E-01,1.13E-01,1.601292,-5.380142,0.1086962,AP1G2,adaptor related protein complex 1 gamma 2 subunit
7978093,4.61E-03,8.92E-04,-3.435696,-1.126726,-0.2101058,JPH4,junctophilin 4
7978103,6.81E-02,2.83E-02,-2.229291,-4.232896,-0.0970584,LINC00596,long intergenic non-protein coding RNA 596
7978107,7.05E-02,2.96E-02,-2.21045,-4.272296,-0.1131844,NRL,neural retina leucine zipper
7978114,2.36E-02,7.14E-03,-2.752515,-3.022386,-0.1904042,EMC9,ER membrane protein complex subunit 9
7978123,2.54E-04,2.45E-05,4.447205,2.241581,0.3321673,PSME2,proteasome activator subunit 2
7978132,9.16E-02,4.16E-02,-2.066623,-4.563119,-0.1176929,IPO4,importin 4
7978166,7.34E-01,6.43E-01,0.465596,-6.528921,0.0201702,TM9SF1,transmembrane 9 superfamily member 1
7978174,2.59E-02,8.05E-03,2.709438,-3.130305,0.1410447,MDP1///CHMP4A,magnesium dependent phosphatase 1///charged multivesicular body protein 4A
7978187,5.88E-01,4.76E-01,0.715585,-6.382769,0.0335442,NEDD8-MDP1///MDP1///CHMP4A,NEDD8-MDP1 readthrough///magnesium dependent phosphatase 1///charged multivesicular body protein 4A
7978192,4.04E-01,2.89E-01,-1.066397,-6.074927,-0.0519773,NEDD8-MDP1///MDP1,NEDD8-MDP1 readthrough///magnesium dependent phosphatase 1
7978201,3.68E-03,6.64E-04,3.525464,-0.853289,0.1731449,NEDD8-MDP1///NEDD8,"NEDD8-MDP1 readthrough///neural precursor cell expressed, developmentally down-regulated 8"
7978208,3.15E-02,1.04E-02,2.616809,-3.357458,0.1465936,TINF2,TERF1 interacting nuclear factor 2
7978222,5.03E-01,3.87E-01,-0.868503,-6.26323,-0.0333056,TGM1,transglutaminase 1
7978239,9.96E-01,9.94E-01,0.008168,-6.636492,0.0003444,RABGGTA,Rab geranylgeranyltransferase alpha subunit
7978260,5.73E-03,1.18E-03,3.349732,-1.3835,0.3064293,DHRS1,dehydrogenase/reductase 1
7978272,3.65E-03,6.58E-04,-3.528119,-0.845121,-0.1715242,CIDEB,cell death-inducing DFFA-like effector b
7978285,1.78E-01,9.89E-02,-1.667466,-5.275764,-0.1528404,ADCY4,adenylate cyclase 4
7978312,1.44E-03,2.09E-04,3.863447,0.222925,0.234422,RIPK3,receptor interacting serine/threonine kinase 3
7978329,1.93E-01,1.10E-01,-1.616018,-5.35726,-0.0359229,,
7978331,9.90E-01,9.84E-01,0.019489,-6.636336,0.00097,CBLN3,cerebellin 3 precursor
7978335,1.65E-03,2.49E-04,-3.813681,0.059966,-0.1907104,SDR39U1,short chain dehydrogenase/reductase family 39U member 1
7978343,6.91E-03,1.49E-03,-3.276163,-1.599233,-0.333446,CMA1,chymase 1
7978351,3.29E-04,3.39E-05,-4.362297,1.936291,-0.3565738,CTSG,cathepsin G
7978360,7.19E-02,3.03E-02,-2.200631,-4.29271,-0.0901853,GZMH,granzyme H
7978366,5.64E-01,4.51E-01,0.75725,-6.352456,0.0703242,GZMB,granzyme B
7978376,1.20E-05,5.39E-07,-5.394978,5.881192,-0.7394787,STXBP6,syntaxin binding protein 6
7978389,1.27E-03,1.79E-04,-3.907414,0.368149,-0.2019991,,
7978391,4.54E-05,2.87E-06,-4.99163,4.283659,-0.4692569,NOVA1,NOVA alternative splicing regulator 1
7978401,3.56E-01,2.45E-01,-1.170087,-5.961271,-0.0378133,,
7978403,6.50E-01,5.46E-01,-0.606313,-6.454204,-0.0152704,,
7978405,8.72E-02,3.91E-02,-2.093055,-4.510999,-0.0723616,,
7978407,1.37E-02,3.55E-03,2.994024,-2.391101,0.3389029,PRKD1,protein kinase D1
7978428,8.26E-02,3.64E-02,2.12345,-4.450323,0.1524624,STRN3,striatin 3
7978449,7.80E-02,3.38E-02,2.155024,-4.386457,0.1103664,HECTD1,HECT domain E3 ubiquitin protein ligase 1
7978492,5.33E-02,2.06E-02,2.356864,-3.9583,0.1853307,HEATR5A,HEAT repeat containing 5A
7978527,2.00E-02,5.80E-03,-2.825495,-2.836281,-0.1946578,DTD2,D-tyrosyl-tRNA deacylase 2 (putative)
7978534,4.33E-02,1.57E-02,-2.463005,-3.719576,-0.082138,,
7978536,1.77E-01,9.78E-02,-1.672705,-5.267329,-0.0630453,,
7978538,1.38E-03,1.99E-04,3.87833,0.271953,0.3268987,ARHGAP5-AS1,ARHGAP5 antisense RNA 1 (head to head)
7978542,4.69E-01,3.54E-01,-0.932422,-6.206537,-0.0846713,KIAA1143,KIAA1143
7978544,2.09E-10,5.13E-13,8.420764,19.265109,1.6243329,EGLN3,egl-9 family hypoxia inducible factor 3
7978553,4.25E-01,3.10E-01,1.021775,-6.120677,0.0921347,SPTSSA,serine palmitoyltransferase small subunit A
7978558,4.90E-01,3.74E-01,0.892687,-6.242245,0.0479367,EAPP,E2F associated phosphoprotein
7978568,9.98E-01,9.96E-01,0.004867,-6.636513,0.0006907,RNVU1-17///RNU1-1///RNU1-2///RNU1-3///RNVU1-7///RNVU1-18///RNU1-4,"RNA, variant U1 small nuclear 17///RNA, U1 small nuclear 1///RNA, U1 small nuclear 2///RNA, U1 small nuclear 3///RNA, variant U1 small nuclear 7///RNA, variant U1 small nuclear 18///RNA, U1 small nuclear 4"
7978570,2.89E-03,4.93E-04,3.614444,-0.577011,0.2867429,SNX6,sorting nexin 6
7978586,3.18E-01,2.12E-01,-1.255809,-5.859598,-0.1085773,CFL2,cofilin 2
7978595,1.00E-02,2.41E-03,3.121985,-2.039042,0.3066513,BAZ1A,bromodomain adjacent to zinc finger domain 1A
7978626,8.01E-01,7.24E-01,0.35406,-6.574268,0.0158602,,
7978628,1.01E-01,4.70E-02,2.01374,-4.665584,0.1459964,PPP2R3C,protein phosphatase 2 regulatory subunit B''gamma
7978644,9.41E-01,9.13E-01,0.109637,-6.630551,0.0107322,NFKBIA,NFKB inhibitor alpha
7978653,1.14E-02,2.81E-03,-3.071143,-2.18035,-0.2912796,RALGAPA1,Ral GTPase activating protein catalytic alpha subunit 1
7978662,8.45E-01,7.81E-01,-0.278874,-6.597891,-0.0169796,,
7978664,8.89E-01,8.40E-01,-0.202979,-6.616054,-0.011028,,
7978666,1.12E-03,1.53E-04,3.951874,0.516179,0.3798471,MBIP,MAP3K12 binding inhibitory protein 1
7978676,1.31E-01,6.62E-02,-1.859195,-4.951052,-0.0828233,NKX2-1,NK2 homeobox 1
7978686,4.22E-02,1.51E-02,-2.475669,-3.690479,-0.1190644,NKX2-8,NK2 homeobox 8
7978690,7.67E-02,3.30E-02,-2.164723,-4.366669,-0.0823678,,
